[Spectrum]		
IDData	DLAB_2012-07-30_10-33-38_055_676	DLAB_2012-07-30_10-33-42_711_677
IDDevice	SAM_8404	SAM_8404
DateTime	2012-07-30 10:32:46	2012-07-30 10:33:42
IDDataType	SPECTRUM	SPECTRUM
IDDataTypeSub1	CAL	CAL
IDDataTypeSub2	Air	Aqua
IDDataTypeSub3		
RecordType	0	0
IDMethodType		
MethodName		
Latitude	0	0
Longitude	0	0
Comment		
CommentSub1		
CommentSub2		
CommentSub3		
Mission	No Mission	No Mission
MissionSub	1	1
		
[Attributes]		
CalFactor	1	1
IDBasisSpec		
IDDataBack	DLAB_2012-07-27_19-10-40_447_776	DLAB_2012-07-27_19-10-40_447_776
IDDataCal		
IntegrationTime	64	64
P31	-1	-1
P31e	0	0
PathLength	+INF	+INF
RAWDynamic	65535	65535
Temperature	+NAN	+NAN
Unit1	$05 $00 Pixel 	$05 $00 Pixel 
Unit2	$04 $04 1/Intensity (m^2 nm Sr)/mW	$04 $04 1/Intensity (m^2 nm Sr)/mW
Unit3	$04 $04 1/Intensity (m^2 nm Sr)/mW	$04 $04 1/Intensity (m^2 nm Sr)/mW
Unit4	$f1 $00 Status 	$f1 $00 Status 
p999	0	0
[END] of [Attributes]		
		
[Data]		
1	+NAN	+NAN
2	+NAN	+NAN
3	+NAN	+NAN
4	+NAN	+NAN
5	0.445454322565863	0.249719926277526
6	0.571070318778362	0.320416040910248
7	0.638744877847367	0.358685521935698
8	0.723937920169823	0.406852757117656
9	0.773180279166023	0.434865147228942
10	0.787326806219151	0.443155059408956
11	0.825314008787931	0.464875016974483
12	0.839469154369996	0.473181792934373
13	0.867137613519298	0.489111690250313
14	0.912369066707893	0.514965564267141
15	0.957593546421788	0.540838700386184
16	1.0299140042462	0.582047074466317
17	1.1057125708322	0.625262007335798
18	1.20168743236885	0.679933363956863
19	1.30647567286441	0.739646009161496
20	1.41349399227961	0.800676976363178
21	1.51011430485192	0.855868991340309
22	1.5778072725538	0.894703443587124
23	1.60583004931961	0.911058507525123
24	1.60256194725718	0.909655894940044
25	1.57558722957208	0.894776796785634
26	1.54270341918403	0.876514687926049
27	1.50156000951972	0.853529818943032
28	1.46889494459404	0.835335508515018
29	1.44379151082165	0.821417656769612
30	1.42275382375002	0.809792920865274
31	1.41910977810416	0.808053959886734
32	1.42971594646358	0.814422834255363
